date,driver_id,hours_sleep,sleep_quality,start_mood,end_mood
2025-08-17,D003,7.9,"Peaceful sleep, felt refreshed in the morning.",Motivated,Content
2025-08-17,D004,8.5,"Peaceful sleep, felt refreshed in the morning.",Energetic,Motivated
2025-08-18,D001,8.4,"Peaceful sleep, felt refreshed in the morning.",Happy,Energetic
2025-08-18,D002,8.4,"Slept like a baby, dreams of open roads and smooth rides.",Content,Content
2025-08-18,D003,8.7,"Had a deep sleep, woke up with a smile.",Motivated,Happy
2025-08-18,D004,8.0,"Had a deep sleep, woke up with a smile.",Happy,Motivated
2025-08-19,D001,8.3,"Slept like a baby, dreams of open roads and smooth rides.",Energetic,Motivated
2025-08-19,D002,7.8,"Peaceful sleep, felt refreshed in the morning.",Energetic,Motivated
2025-08-19,D003,8.2,"Slept like a baby, dreams of open roads and smooth rides.",Content,Energetic
2025-08-19,D004,7.9,"Slept like a baby, dreams of open roads and smooth rides.",Motivated,Content
2025-08-20,D001,8.0,"Slept like a baby, dreams of open roads and smooth rides.",Energetic,Motivated
2025-08-20,D002,8.3,"Had a deep sleep, woke up with a smile.",Happy,Content
2025-08-20,D003,7.6,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Motivated
2025-08-20,D004,9.0,"Had a deep sleep, woke up with a smile.",Happy,Happy
2025-08-21,D001,7.5,"Rested and rejuvenated, ready to tackle the day ahead.",Content,Energetic
2025-08-21,D002,7.4,"Had a deep sleep, woke up with a smile.",Motivated,Energetic
2025-08-21,D003,8.6,"Rested and rejuvenated, ready to tackle the day ahead.",Energetic,Happy
2025-08-21,D004,8.4,"Had a deep sleep, woke up with a smile.",Energetic,Motivated
2025-08-22,D001,8.3,"Slept like a baby, dreams of open roads and smooth rides.",Motivated,Content
2025-08-22,D002,8.3,"Had a deep sleep, woke up with a smile.",Energetic,Content
2025-08-22,D003,8.0,"Peaceful sleep, felt refreshed in the morning.",Happy,Motivated
2025-08-22,D004,7.6,"Peaceful sleep, felt refreshed in the morning.",Happy,Energetic
2025-08-23,D001,8.0,"Peaceful sleep, felt refreshed in the morning.",Content,Happy
2025-08-23,D002,7.7,"Had a deep sleep, woke up with a smile.",Happy,Content
2025-08-23,D003,8.5,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Motivated
2025-08-23,D004,7.9,"Rested and rejuvenated, ready to tackle the day ahead.",Content,Content
2025-08-24,D001,7.6,"Slept like a baby, dreams of open roads and smooth rides.",Content,Content
2025-08-24,D002,7.8,"Rested and rejuvenated, ready to tackle the day ahead.",Motivated,Content
2025-08-24,D003,8.2,"Slept like a baby, dreams of open roads and smooth rides.",Motivated,Content
2025-08-24,D004,7.7,"Rested and rejuvenated, ready to tackle the day ahead.",Motivated,Content
2025-08-25,D001,7.6,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Content
2025-08-25,D002,8.1,"Slept like a baby, dreams of open roads and smooth rides.",Motivated,Content
2025-08-25,D003,8.1,"Peaceful sleep, felt refreshed in the morning.",Happy,Content
2025-08-25,D004,7.7,"Peaceful sleep, felt refreshed in the morning.",Happy,Content
2025-08-26,D001,7.8,"Had a deep sleep, woke up with a smile.",Happy,Happy
2025-08-26,D002,8.1,"Had a deep sleep, woke up with a smile.",Energetic,Motivated
2025-08-26,D003,7.3,"Slept like a baby, dreams of open roads and smooth rides.",Energetic,Content
2025-08-26,D004,7.3,"Slept like a baby, dreams of open roads and smooth rides.",Motivated,Energetic
2025-08-27,D001,7.6,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Energetic
2025-08-27,D002,7.9,"Had a deep sleep, woke up with a smile.",Energetic,Happy
2025-08-27,D003,8.2,"Had a deep sleep, woke up with a smile.",Energetic,Happy
2025-08-27,D004,8.7,"Slept like a baby, dreams of open roads and smooth rides.",Motivated,Content
2025-08-28,D001,8.4,"Slept like a baby, dreams of open roads and smooth rides.",Content,Motivated
2025-08-28,D002,7.9,"Peaceful sleep, felt refreshed in the morning.",Energetic,Motivated
2025-08-28,D003,8.0,"Had a deep sleep, woke up with a smile.",Energetic,Happy
2025-08-28,D004,7.5,"Slept like a baby, dreams of open roads and smooth rides.",Content,Energetic
2025-08-29,D001,8.0,"Had a deep sleep, woke up with a smile.",Content,Energetic
2025-08-29,D002,7.9,"Peaceful sleep, felt refreshed in the morning.",Energetic,Energetic
2025-08-29,D003,8.2,"Had a deep sleep, woke up with a smile.",Happy,Motivated
2025-08-29,D004,7.6,"Had a deep sleep, woke up with a smile.",Motivated,Motivated
2025-08-30,D001,8.3,"Peaceful sleep, felt refreshed in the morning.",Content,Energetic
2025-08-30,D002,8.8,"Slept like a baby, dreams of open roads and smooth rides.",Happy,Happy
2025-08-30,D003,7.9,"Slept like a baby, dreams of open roads and smooth rides.",Energetic,Happy
2025-08-30,D004,8.2,"Peaceful sleep, felt refreshed in the morning.",Content,Happy
2025-08-31,D001,8.3,"Peaceful sleep, felt refreshed in the morning.",Happy,Energetic
2025-08-31,D002,7.8,"Peaceful sleep, felt refreshed in the morning.",Energetic,Happy
2025-08-31,D003,8.1,"Peaceful sleep, felt refreshed in the morning.",Motivated,Motivated
2025-08-31,D004,8.0,"Slept like a baby, dreams of open roads and smooth rides.",Content,Content
